name,population
North Carolina,10488084
Indiana,6732212
Wyoming,578759
Utah,3323971
Arizona,7278717
Montana,1103311
Kentucky,4467673
California,39512223
Kansas,2913314
Delaware,989948
Florida,21478738
Pennsylvania,12801989
Iowa,3155070
Mississippi,2961279
Illinois,12671821
Texas,29189580
Connecticut,3565287
Georgia,10617423
Maryland,6045680
Virginia,8600467
Idaho,1881201
Oregon,4237256
Vermont,623989
Maine,1344212
Oklahoma,3923561
Tennessee,6910818
Alabama,4903185
Arkansas,3017804
South Carolina,5148714
Washington,7701186
Nebraska,1934408
West Virginia,1792147
Colorado,5758736
Massachusetts,6949503
Missouri,6154913
Alaska,733391
North Dakota,762062
Wisconsin,5822434
Nevada,3080156
New York,19453561
Rhode Island,1059361
Hawaii,1415872
South Dakota,884659
Minnesota,5639615
New Jersey,8882190
Michigan,9986857
New Mexico,2096829
New Hampshire,1359711
Louisiana,4648794
Ohio,11689473